white,yellow,yellow,white,yellow,0.1,1,0.5,0.4,0.3
white,yellow,yellow,white,white,0.2,0.1,0.4,0.3,0.1
yellow,yellow,white,yellow,white,0.3,0.4,0.7,0.2,0.4
white,white,yellow,white,yellow,0.4,0.7,1,0.5,0.2
yellow,white,white,white,white,0.5,0.8,0.6,0.9,0.5
yellow,white,white,yellow,white,0.6,0.9,0.2,0.1,0.6
white,white,yellow,white,yellow,0.7,0.5,0.1,0.7,0.9
white,white,white,yellow,yellow,0.8,0.3,0.3,0.6,1
yellow,white,white,white,white,0.9,0.2,0.9,0.8,0.8
white,yellow,white,yellow,white,1,0.6,0.8,1,0.7
white,yellow,yellow,white,yellow,1.1,2,1.5,1.4,1.3
white,yellow,yellow,white,white,1.2,1.1,1.4,1.3,1.1
yellow,yellow,white,yellow,white,1.3,1.4,1.7,1.2,1.4
white,white,yellow,white,yellow,1.4,1.7,2,1.5,1.2
yellow,white,white,white,white,1.5,1.8,1.6,1.9,1.5
yellow,white,white,yellow,white,1.6,1.9,1.2,1.1,1.6
white,white,yellow,white,yellow,1.7,1.5,1.1,1.7,1.9
white,white,white,yellow,yellow,1.8,1.3,1.3,1.6,2
yellow,white,white,white,white,1.9,1.2,1.9,1.8,1.8
white,yellow,white,yellow,white,2,1.6,1.8,2,1.7
white,yellow,yellow,white,yellow,2.1,3,2.5,2.4,2.3
white,yellow,yellow,white,white,2.2,2.1,2.4,2.3,2.1
yellow,yellow,white,yellow,white,2.3,2.4,2.7,2.2,2.4
white,white,yellow,white,yellow,2.4,2.7,3,2.5,2.2
yellow,white,white,white,white,2.5,2.8,2.6,2.9,2.5
yellow,white,white,yellow,white,2.6,2.9,2.2,2.1,2.6
white,white,yellow,white,yellow,2.7,2.5,2.1,2.7,2.9
white,white,white,yellow,yellow,2.8,2.3,2.3,2.6,3
yellow,white,white,white,white,2.9,2.2,2.9,2.8,2.8
white,yellow,white,yellow,white,3,2.6,2.8,3,2.7
white,yellow,yellow,white,yellow,3.1,4,3.5,3.4,3.3
white,yellow,yellow,white,white,3.2,3.1,3.4,3.3,3.1
yellow,yellow,white,yellow,white,3.3,3.4,3.7,3.2,3.4
white,white,yellow,white,yellow,3.4,3.7,4,3.5,3.2
yellow,white,white,white,white,3.5,3.8,3.6,3.9,3.5
yellow,white,white,yellow,white,3.6,3.9,3.2,3.1,3.6
white,white,yellow,white,yellow,3.7,3.5,3.1,3.7,3.9
white,white,white,yellow,yellow,3.8,3.3,3.3,3.6,4
yellow,white,white,white,white,3.9,3.2,3.9,3.8,3.8
white,yellow,white,yellow,white,4,3.6,3.8,4,3.7
white,yellow,yellow,white,yellow,4.1,5,4.5,4.4,4.3
white,yellow,yellow,white,white,4.2,4.1,4.4,4.3,4.1
yellow,yellow,white,yellow,white,4.3,4.4,4.7,4.2,4.4
white,white,yellow,white,yellow,4.4,4.7,5,4.5,4.2
yellow,white,white,white,white,4.5,4.8,4.6,4.9,4.5
yellow,white,white,yellow,white,4.6,4.9,4.2,4.1,4.6
white,white,yellow,white,yellow,4.7,4.5,4.1,4.7,4.9
white,white,white,yellow,yellow,4.8,4.3,4.3,4.6,5
yellow,white,white,white,white,4.9,4.2,4.9,4.8,4.8
white,yellow,white,yellow,white,5,4.6,4.8,5,4.7
white,yellow,yellow,white,yellow,5.1,6,5.5,5.4,5.3
white,yellow,yellow,white,white,5.2,5.1,5.4,5.3,5.1
yellow,yellow,white,yellow,white,5.3,5.4,5.7,5.2,5.4
white,white,yellow,white,yellow,5.4,5.7,6,5.5,5.2
yellow,white,white,white,white,5.5,5.8,5.6,5.9,5.5
yellow,white,white,yellow,white,5.6,5.9,5.2,5.1,5.6
white,white,yellow,white,yellow,5.7,5.5,5.1,5.7,5.9
white,white,white,yellow,yellow,5.8,5.3,5.3,5.6,6
yellow,white,white,white,white,5.9,5.2,5.9,5.8,5.8
white,yellow,white,yellow,white,6,5.6,5.8,6,5.7
white,yellow,yellow,white,yellow,6.1,7,6.5,6.4,6.3
white,yellow,yellow,white,white,6.2,6.1,6.4,6.3,6.1
yellow,yellow,white,yellow,white,6.3,6.4,6.7,6.2,6.4
white,white,yellow,white,yellow,6.4,6.7,7,6.5,6.2
yellow,white,white,white,white,6.5,6.8,6.6,6.9,6.5
yellow,white,white,yellow,white,6.6,6.9,6.2,6.1,6.6
white,white,yellow,white,yellow,6.7,6.5,6.1,6.7,6.9
